66605	-8034922.25252	14867328.2051	19084508.3113	21660722.0542	21688309.645
66606	-8037184.7868	14868642.6135	19082529.7107	21661362.7288	21688950.8699
66607	-8039446.97875	14869957.0731	19080550.6509	21662003.446	21689592.3522
66608	-8041708.82832	14871271.584	19078571.132	21662644.2059	21690233.0394
66609	-8043970.33546	14872586.146	19076591.1539	21663285.0082	21690871.7062
66610	-8046231.50013	14873900.7591	19074610.7168	21663925.8532	21691514.8442
66611	-8048492.32227	14875215.4232	19072629.8207	21664566.7407	21692156.0673
66612	-8050752.80183	14876530.1381	19070648.4656	21665207.6707	21692798.0187
66613	-8053012.93877	14877844.904	19068666.6516	21665848.6432	21693437.7673
66614	-8055272.73303	14879159.7206	19066684.3788	21666489.6582	21694078.6779
66615	-8057532.18457	14880474.5879	19064701.6471	21667130.7157	21694718.5594
66616	-8059791.29333	14881789.5058	19062718.4567	21667771.8156	21695361.6454
66617	-8062050.05926	14883104.4742	19060734.8075	21668412.958	21696001.7506
66618	-8064308.48232	14884419.4932	19058750.6997	21669054.1429	21696644.4052
66619	-8066566.56246	14885734.5625	19056766.1333	21669695.3702	21697285.3188
66620	-8068824.29962	14887049.6821	19054781.1082	21670336.6399	21697927.1664
66621	-8071081.69376	14888364.852	19052795.6247	21670977.952	21698568.8895
66622	-8073338.74482	14889680.0721	19050809.6826	21671619.3064	21699209.5345
66623	-8075595.45276	14890995.3422	19048823.2822	21672260.7033	21699849.7644
66624	-8077851.81753	14892310.6624	19046836.4233	21672902.1425	21700490.0848
66625	-8080107.83907	14893626.0325	19044849.1061	21673543.624	21701131.0908
66626	-8082363.51735	14894941.4525	19042861.3306	21674185.1479	21701772.6065
66627	-8084618.8523	14896256.9223	19040873.0969	21674826.7141	21702415.6633
66628	-8086873.84387	14897572.4419	19038884.4049	21675468.3226	21703057.0568
66629	-8089128.49203	14898888.011	19036895.2548	21676109.9733	21703696.6378
66630	-8091382.27758	14900204.2808	19034907.6	21676752.7453	21704340.36
66631	-8093636.24025	14901519.9485	19032917.5336	21677394.4807	21704983.0337
66632	-8095889.85936	14902835.6657	19030927.0092	21678036.2584	21705623.5867
66633	-8098143.13484	14904151.4321	19028936.0268	21678678.0782	21706264.4264
66634	-8100396.06665	14905467.2479	19026944.5865	21679319.9403	21706907.6894
66635	-8102648.65474	14906783.1129	19024952.6884	21679961.8446	21707549.8744
66636	-8104900.89907	14908099.0269	19022960.3325	21680603.7911	21708193.2945
66637	-8107152.79958	14909414.9901	19020967.5188	21681245.7798	21708835.1629
66638	-8109404.35623	14910731.0022	19018974.2473	21681887.8106	21709477.8091
66639	-8111655.56896	14912047.0632	19016980.5182	21682529.8835	21710118.4973
66640	-8113906.43772	14913363.173	19014986.3315	21683171.9986	21710761.1852
66641	-8116156.96248	14914679.3316	19012991.6872	21683814.1558	21711403.3633
66642	-8118407.14316	14915995.5388	19010996.5854	21684456.3551	21712044.8336
66643	-8120656.97974	14917311.7947	19009001.0261	21685098.5965	21712687.3098
66644	-8122906.47215	14918628.0991	19007005.0093	21685740.88	21713329.9265
66645	-8125155.62035	14919944.4519	19005008.5352	21686383.2055	21713972.3003
66646	-8127404.42429	14921260.8531	19003011.6038	21687025.5731	21714614.3259
66647	-8129652.88392	14922577.3026	19001014.215	21687667.9827	21715256.3124
66648	-8131900.9992	14923893.8003	18999016.3691	21688310.4343	21715898.1082
66649	-8134148.77006	14925210.3462	18997018.0659	21688952.9279	21716540.546
66650	-8136396.19647	14926526.9401	18995019.3056	21689595.4635	21717184.2531
66651	-8138643.27837	14927843.5821	18993020.0882	21690238.0411	21717827.2994
66652	-8140890.01571	14929160.2719	18991020.4137	21690880.6606	21718470.0682
66653	-8143136.40845	14930477.0097	18989020.2823	21691523.3221	21719119.3137
66654	-8145382.45653	14931793.7952	18987019.6939	21692166.0255	21720168.9621
66655	-8147628.15992	14933110.6284	18985018.6485	21692808.7708	21720811.8102
66656	-8149873.51855	14934427.5092	18983017.1464	21693451.558	21721455.3745
66657	-8152118.53238	14935744.4376	18981015.1874	21694094.3871	21722097.5976
66658	-8154363.20135	14937061.4134	18979012.7717	21694737.2581	21722740.3613
66659	-8156607.52543	14938378.4366	18977009.8992	21695380.171	21723382.8851
66660	-8158851.50456	14939695.5072	18975006.5701	21696023.1257	21724026.286
66661	-8161095.1387	14941012.625	18973002.7844	21696666.1222	21724668.8124
66662	-8163338.42778	14942329.79	18970998.5421	21697309.1606	21725312.9167
66663	-8165581.37178	14943647.0021	18968993.8433	21697952.2407	21725954.1473
66664	-8167823.97062	14944964.2612	18966988.6881	21698595.3627	21726598.8475
66665	-8170066.22428	14946281.5673	18964983.0764	21699238.5264	21727242.7924
66666	-8172308.13269	14947598.9202	18962977.0083	21699881.7319	21727884.4276
66667	-8174549.69581	14948916.32	18960970.4839	21700524.9791	21728528.2426
66668	-8176790.9136	14950233.7664	18958963.5032	21701168.2681	21729172.2159
66669	-8179031.78599	14951551.2595	18956956.0663	21701811.5987	21729816.4258
66670	-8181272.31294	14952868.7992	18954948.1732	21702454.9711	21730458.7614
66671	-8183512.49441	14954186.3854	18952939.824	21703098.3852	21731102.4359
66672	-8185752.33035	14955504.018	18950931.0187	21703741.841	21731745.3198
66673	-8187991.8207	14956821.697	18948921.7574	21704385.3384	21732388.4709
66674	-8190230.96542	14958139.4222	18946912.0401	21705028.8775	21733031.7432
66675	-8192469.76445	14959457.1936	18944901.8668	21705672.4582	21733676.4909
66676	-8194708.21776	14960775.0112	18942891.2376	21706316.0805	21734319.321
